,symbol,date,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
4,DLR,2017-12-31,FY,0.24716381387107292,0.159219289867612,2.9378590956693654e-05,41.037270009536485,0.0,41.037270009536485,404.897491031314,-363.86022102177753,0.6404980129605098,0.18360790063826116,0.10747589026204185,0.10100336543625363,0.029908997304745465,0.011598532914695592,0.023988506805580127,0.022945196268509462,0.9397769601162896,0.5853554770161424,0.18360790063826116,0.4837753736449305,1.0005617890129568,0.438975466305642,0.4552455536852121,1.7448635565762713,0.11832005992171235,2.068236300401939,8.89435383774747,0.9014627358403947,,,0.11483313317926803,5.879056703095575,5.879056703095575,0.0002930034465363448,2.8808985776950684,0.41632830579252117,1.0,0.11832005992171235,1.8573598864498517,,,2.8808985776950684,1.7922139902487453,1.7922139902487453,7.546098890780151,74.71136093522279,18.12535632525735,18.12535632525735,18.12535632525735,-1.3533779316954289,7.546098890780151,0.03856038146852796,24.505662070410537,1.7922139902487453
0,BIIB,2021-12-31,FY,1.8278581731887766,1.3410730073053836,0.5261272160439253,65.20124388755839,233.8235294117647,299.0247732993231,101.93771626297578,197.08705703634732,0.8078894888769498,0.25867579700774923,0.15891892876330624,0.14169937259258586,0.030082512033004813,0.06517068512771544,0.14281125530001285,0.14508838506366484,0.8916456566582627,0.6143556165733798,0.25867579700774923,0.5409991917009042,1.1855142159651988,0.3773813469252483,0.4110066649729455,11.201498422712934,0.47871375024659696,2.19134193572071,5.598052709384717,3.5806177868295994,1.5610062893081762,2.8961706841078114,0.4599221855067365,22.622125543816036,20.789310130515847,23.632691112492232,0.0,0.3314514146261508,0.9189812906947993,0.47871375024659696,3.6431788609748774,-12.342828077314344,,,3.3255896667003175,3.3255896667003175,3.299697690366701,23.28660762566673,10.83297163715994,9.955298257177393,9.955298257177393,-0.38110932559188604,3.299697690366701,,17.69368489139963,3.3255896667003175
1,BIIB,2020-12-31,FY,1.8403880070546736,1.3193843193843193,0.3557265779488002,63.18257887925263,216.06414801684025,279.24672689609287,91.97789718590738,187.26882971018549,0.8657304791514809,0.3384332743257516,0.37542954048465554,0.29756184639185995,0.19659237246161465,0.16250116780197327,0.3738773679242638,0.2179511129632557,0.7925903912828133,1.1093162787631041,0.3384332743257516,0.5659391768113117,1.3020943338037252,0.42249507515449175,,20.44988764044944,0.5403285557343962,2.3007672682074336,5.776908864349246,3.96834469114091,1.6893131199700542,3.496826883062838,0.5461088838250288,26.288377874456184,22.85891858297079,16.221876942200126,0.0,0.31460958302961783,0.8695446593219538,,,-7.665458499456324,,,4.249595486715325,4.249595486715325,3.3821717705621586,11.366281704369346,12.363226369358348,10.750377461463898,10.750377461463898,-0.5411450608721684,3.3821717705621586,,9.161398051422628,4.249595486715325
2,BIIB,2019-12-31,FY,1.7233027673835273,1.4282248447715777,0.5990583494387105,62.721642242608446,150.1140431625243,212.83568540513275,99.08049503937814,113.75519036575461,0.8639996105133573,0.48982118390029145,0.495614797710375,0.4095521599120873,0.16250578874247462,0.21621631545514297,0.4413109299118652,0.3148163876533828,0.8263517590760465,1.0118280180615113,0.48982118390029145,0.5102095519253295,1.0413693866538762,0.2504746604352271,0.30857083635609905,37.58057630736393,1.1887217034996977,2.0410621140356136,5.819362933581576,3.683873398643557,2.4314847052971897,3.9130990937049233,0.5279335250033964,37.83324425440941,34.25494388027793,23.92250133618386,0.0,0.4923250266033287,0.905419150679513,1.1887217034996977,4.732317154699826,-10.57296489917849,,,3.8915599565996164,3.8915599565996164,3.6115053528609877,8.818181678339135,8.10189618088343,7.335611958989065,7.335611958989065,0.19383868872202792,3.6115053528609877,,6.945096065815907,3.8915599565996164
3,BIIB,2018-12-31,FY,2.3187970381160476,1.827931536780772,0.3716314639475601,67.4331185097637,186.87083631558664,254.30395482535033,74.45493585861367,179.84901896673665,0.8649882181537066,0.43771974815838965,0.4385374157244906,0.3293490622839685,0.24164350125432232,0.17520335008640153,0.3397880303076781,0.26774030745167937,0.7510170181029222,1.0018680161668307,0.43771974815838965,0.4846909118229737,0.9400058283996442,0.31284088932920884,,29.35493519441675,1.0423144950728545,1.9393923126476271,5.412770580188299,4.902294197031039,1.9532207764275729,3.7356714428523827,0.5319685711913131,30.198633479746217,25.874084919472914,17.266959492435333,0.0,0.45995287261482654,0.856796547990368,,,-6.983071888048753,,,5.151884331306175,5.151884331306175,4.993608138505452,15.162053609249103,12.671365422985513,10.856782152738498,10.856782152738498,0.18682654292511278,4.993608138505452,,10.163343596027426,5.151884331306175
4,BIIB,2017-12-31,FY,2.33753933851909,1.7839201947627814,0.46725253844783565,68.98003079705717,202.13834355828223,271.11837435533937,88.56288343558283,182.55549091975655,0.8671978751660027,0.4354117273238335,0.41786229315865375,0.2068698620650323,0.47939089065668383,0.10734972053812265,0.20131136623113027,0.2634635483425687,0.49506707221962254,0.9596946222072528,0.4354117273238335,0.4673693378317817,0.8764509070150958,0.3199840412340008,0.320101342245701,21.30861244019139,0.7663938567242599,1.8752854243308386,5.291386445938955,4.121365360303414,1.805694029024039,3.856806184012066,0.5189239237969611,21.406396989651927,12.17403574788335,17.35183443085607,0.0,0.37078679148436927,0.5687101735882224,0.7663938567242599,1422.1875,-2.3186264520073365,,,5.94321904332107,5.94321904332107,6.107319853477705,29.52252103091646,28.962457750405683,16.471244374774773,16.471244374774773,-0.9974142563433128,6.107319853477705,,12.532392749873608,5.94321904332107
0,MSCI,2021-12-31,FY,1.7134436026754345,1.667518028485847,1.1363074239550033,118.68915717009276,0,118.68915717009276,13.684803336641723,105.00435383345103,0.824479433768003,0.524933644687856,0.41992538452805517,0.35525684790736095,0.1540000652577214,0.1318362366737411,-4.441159377733732,0.2520639057692552,0.8459999347422786,0.799958982963947,0.524933644687856,1.0296850946927771,-34.68693987165605,1.0394087826761145,,6.7207450474269175,0.21711229003878277,-33.68693987165605,3.0752598527338146,26.671921475312313,,9.671337772540333,0.37110118341228865,11.350005456331163,10.709868684296678,17.235325500466818,0.41660617397377075,0.4580615832103444,0.9436003115154973,,,-17.730594385725652,3.7494502413330397,0.4166061739737707,-256.3637057884325,-256.3637057884325,20.50702402009338,57.72450029011382,47.44502662717466,44.769141905263076,44.769141905263076,2.800582700756503,20.50702402009338,0.007217146478184771,38.89051146532193,-256.3637057884325
1,MSCI,2020-12-31,FY,1.884572736107672,1.8194817028114965,1.2728131309522994,120.25415096231545,0,120.25415096231545,17.83432863450621,102.41982232780924,0.8279428332124172,0.5218645857295372,0.4047593768985307,0.3549755513480674,0.1229961018616343,0.14333712741271176,-1.357797461386085,0.2785010944707351,0.8770038981383657,0.7756023075079909,0.5218645857295372,1.1055659120664347,-10.472754797691513,1.1440996656246902,,5.659809114403418,0.23048638025596746,-9.472754797691513,3.0352382606267088,20.46614747772399,,7.252198685921566,0.4037943651847845,9.688816952553873,9.079913039323428,15.53491566725596,0.4094964956415684,0.4784203044727172,0.9371539460171198,,,-15.911897989210397,4.149553126071142,0.4094964956415685,-74.66244416868922,-74.66244416868922,19.519363555680286,54.98790967871697,43.5356578954037,40.79961358912895,40.79961358912895,6.909801480382166,19.519363555680286,0.007447027865473923,37.03965386960509,-74.66244416868922
2,MSCI,2019-12-31,FY,2.311067223513687,2.2267608510789465,1.6725026809919337,116.98118367231653,0,116.98118367231653,8.040961347432372,108.94022232488416,0.8106549252918868,0.4851090900220568,0.3872894782115245,0.36182401290027705,0.0657530522875167,0.13406021588135777,-7.347394217483119,0.2287470869367939,0.9342469477124833,0.7983554342259703,0.4851090900220568,1.0182459538597182,-55.80667153322731,1.0242815307929845,,5.104673705257327,0.21925452786868022,-54.80667153322731,3.120159914114263,45.392582333025544,,6.058775484804406,0.370512213401122,8.382437030386088,7.747188223618922,17.798863475261093,0.3954986090609742,0.45546592750270254,0.9242166920593131,,,-13.195517946810488,4.19458829928112,0.3954986090609742,-323.0339044883072,-323.0339044883072,15.907874297350872,43.96577819652691,37.79048353406847,34.9265956831787,34.9265956831787,3.0881986371777335,15.907874297350872,0.008995601244520146,31.911106288297095,-323.0339044883072
3,MSCI,2018-12-31,FY,1.773887279235805,1.7028373019797085,1.117635425113225,120.50556003414263,0,120.50556003414263,4.943985243705083,115.56157479043755,0.7996246820048202,0.47901371284477373,0.4392629206462555,0.35417759193965903,0.19370022987921814,0.149909148653818,-3.0504702872175575,0.26634855196545565,0.8062997701207818,0.9170153356102362,0.47901371284477373,1.0491429630644118,-21.34879334991051,1.0691130955148342,,5.16022356776898,0.23791944250091826,-20.34879334991051,3.0289058853100648,73.82708119218911,,15.779394126126522,0.42325983366942627,7.0287798667110195,6.467165257688205,10.371488546553643,0.3365683176309598,0.4273143912344908,0.9200978520208498,,,-12.51530810236719,5.023586413832116,0.3365683176309598,-85.229054529711,-85.229054529711,9.8955959096264,27.939644220383947,25.168678673627223,23.15764718580738,23.15764718580738,0.38006965417202454,9.8955959096264,0.012046263544952708,18.692529217507264,-85.229054529711
4,MSCI,2017-12-31,FY,2.0852221020914277,2.002891367203635,1.463788793607067,93.84361373503734,0,93.84361373503734,2.1480543092149698,91.69555942582237,0.7850266682990993,0.4545602948424545,0.36643326018779254,0.2385643382526064,0.34895555569834164,0.09279695011826596,0.7580122290604769,0.2170872006227893,0.6510444443016584,0.8061268534569086,0.4545602948424545,0.8775785580223637,7.168503685675241,0.838243236974634,,4.988785336526038,0.19448503988993757,8.168503685675242,3.889449537083673,169.9212158808933,,13.492296451602655,0.3889808124632899,4.473941728657457,3.933548087141339,9.846594934466879,0.3938421959917361,0.31719265530870244,0.8792130800330564,,,-8.279042136960484,5.700394922425952,0.39384219599173614,31.154850927258035,31.154850927258035,9.805166869183752,41.10072335623544,35.15909810588027,30.912338936855384,30.912338936855384,1.7467807426400075,9.805166869183752,0.009582366533507391,20.637089401918598,31.154850927258035
0,TK,2021-12-31,FY,1.540900258357261,0.08305039994160603,0.03273456487332504,89.58144812954573,0.0,89.58144812954573,71.85191659519609,17.729531534349647,-0.07286068441688595,-0.13357352587808494,-0.4138061385361051,0.011437228574610114,0.017572744718970634,0.001195043097179386,0.015155810115522765,-0.028463525380822394,-0.02763909838329332,3.097965227883508,-0.13357352587808494,0.6276041483274143,7.9594194738374915,0.5753670863116586,0.661211049630723,-1.3325878500847805,0.07559156322310186,12.682228909814581,4.0745043490719794,5.0798923298923295,,0.5050919330548268,0.10448712197920937,0.7438768463549325,0.5339180812695978,1.0668474072226657,0.0,0.1113334935268158,0.7177506382754718,0.07559156322310186,0.24723919593411814,-3.542966382244603,,,0.6187821036404233,0.6187821036404233,0.4669596876227092,40.828045411222135,5.843593070646693,4.194242656278789,4.194242656278789,0.3719888581911351,0.4669596876227092,,6.850973121986703,0.6187821036404233
1,TK,2020-12-31,FY,0.8213744666406964,0.7187701469144324,0.39728291450532277,56.73840319176591,0.0,56.73840319176591,132.575823087293,-75.83741989552709,0.3083271648183152,0.17325761481148577,0.05505950413951419,-0.045676201428451836,0.08990697209162749,-0.011939828779863609,-0.17227175285828236,0.051842407019396554,-0.8295788736620986,0.31778980796556666,0.17325761481148577,0.6442092845403167,9.294862154347248,0.8741649253758653,0.8878068015821449,1.3941200193222156,0.2583077042616885,14.428326907737304,6.433032645743723,2.7531414966940844,,0.40497387045186384,0.26140152653819976,9.737623573033563,9.47531592179339,3.4515024007923754,0.0,0.54195746808895,0.9730624572542954,0.2583077042616885,2.1153558422797296,-37.122910929188514,,,0.5163823901970885,0.5163823901970885,0.1369138333906124,-2.9974872933572887,0.2596219503712755,0.25262837298542606,0.25262837298542606,-0.040850711785577205,0.1369138333906124,,8.9849445507021,0.5163823901970885
2,TK,2019-12-31,FY,0.9822174896159112,0.5674907761445702,0.30358666814488994,57.6130042752331,0.0,57.6130042752331,41.66884183192446,15.944162443308642,0.38990002523914213,0.10488482778012236,-0.06348543814585346,-0.15964759783508817,-0.2063253012048193,-0.038471724532953853,-0.6445338197786508,0.02953147964954507,2.5147120741028632,-0.6052871467639015,0.10488482778012236,0.9403107744661622,15.753442368474026,0.8935417591813198,0.9087150048894929,0.7311787113119448,0.07990863914986711,16.753442368474026,6.335375226334232,8.75954271712818,,0.38651713744727434,0.24097903792260095,3.8056885744076028,2.718279481581391,3.5071854803011586,-0.017783029651262005,0.19703288439187802,0.7142674521139768,0.07990863914986711,0.5094742382595473,-3.499776302694411,-3.6856346153846156,-0.017783029651262005,0.7900973237621481,0.7900973237621481,0.19570290328268197,-1.2258430814902583,1.3905854882151192,0.9932499536140837,0.9932499536140837,0.004228890979813555,0.19570290328268197,0.014506774904372884,16.948947661996375,0.7900973237621481
3,TK,2018-12-31,FY,1.308822393456624,0.8718477137681107,0.6182059058865024,36.749641883542154,0.0,36.749641883542154,10.046645535393706,26.702996348148446,0.3441961992215161,0.09506516678160334,-0.021997838573365854,-0.04584179930667728,-0.518738658180575,-0.009442339844154978,-0.09794546540072757,0.02132478433376709,2.083922888777845,-0.23139746468758937,0.09506516678160334,0.9035959469330896,9.373007857936615,0.8517817624315537,0.8623615114269289,0.6466044403170081,0.03593356034928364,10.373007857936615,9.932069573811562,36.33053427774751,,0.31329460428088285,0.2059766411214931,1.8273771283397753,-5.1335015200535015,4.255726407064838,-0.2786829385261936,0.10537244111616627,-2.8092184368737474,0.03593356034928364,0.43412609881204356,-0.2625210437710438,-0.27115124086287234,-0.2786829385261936,0.43182676553880084,0.43182676553880084,0.2021095702602506,-4.408848983177051,-0.6827698377624072,1.918049616383452,1.918049616383452,-0.07999561041640833,0.2021095702602506,0.06320990798042088,10.604423186273678,0.43182676553880084
4,TK,2017-12-31,FY,0.610075080663359,0.4434733744977772,0.32635471950251,31.03097484912239,0.0,31.03097484912239,8.74823649420516,22.282738354917228,0.46508967565302295,0.0035632005411810256,-0.2748663533886569,-0.0868336017256527,-0.02366689884683848,-0.02017636961523457,-0.21008477967449443,0.0009959115600805945,0.31591208110827335,-77.14029850746269,0.0035632005411810256,0.9039608216906724,9.412417282238215,0.8249681382920864,0.8548758597239061,0.02496274217585693,0.11221643096072179,10.412417282238215,11.762440650823539,41.72269465300535,,0.3610091419022283,0.23235670540283476,5.950566808153122,-6.2582271368340106,5.159547802558515,-0.1162265121634533,0.2732203674670218,-1.051702692970248,0.11221643096072179,0.5614269946561465,-0.4874000523693328,-0.4963360142984808,-0.1162265121634533,0.9113319034798395,0.9113319034798395,0.37667760448548443,-4.337924455507239,-1.3108824305393043,1.3786585823655704,1.3786585823655704,0.5019598298515523,0.37667760448548443,0.02679311577588614,8.025711769021775,0.9113319034798395
0,BEP,2021-12-31,FY,0.48836838750796685,0.48836838750796685,0.12173358827278521,205.045166015625,0.0,205.045166015625,1103.5567765567766,-898.5116105411516,0.666748046875,0.2158203125,-0.0126953125,-0.08984375,-0.2692307692307692,-0.006587072869493619,,0.01782581516807485,7.076923076923077,-0.058823529411764705,0.2158203125,0.570479889738128,,,,0.9011213047910296,0.03409354823726137,,1.7800956106040853,0.3307487278895081,,0.08286130441819065,0.07331698498218985,2.670665241972277,-4.4862809854929395,2.7798204970937594,-2.3206521739130435,0.17919921875,-1.6798365122615804,0.03409354823726137,0.3415542112610517,-0.373157092018302,-0.6594788858939802,-2.3206521739130435,,,2.2109152088306425,-24.608447541767152,-7.344613702652321,12.337750266172085,12.337750266172085,0.20592278146532728,2.2109152088306425,0.09430307092612296,14.013584913237928,
